front,back,tags
"Summarize the core idea of **API Platform**.","An **API platform** is the organizational product layer that enables teams to **publish**, **consume**, **secure**, **observe**, and **monetize** HTTP and RPC interfaces at scale. It combines an **API gateway** (traffic management, auth termination, rate limiting), a **developer portal** (documentation, keys, sandboxes), **lifecycle governance** (design-first specs, breaking-change detection), and **analytics** (usage, latency, error budgets per API product).","api-platform|summary"
"What is **Conversation / channel**?","Thread of messages between participants","chat-platform|terminology"
"What is **Sequence number**?","Monotonic ID per conversation","chat-platform|terminology"
"What is **Inbox**?","Per-user view of conversations","chat-platform|terminology"
"What is **Fan-out on write**?","Copy message to each member's inbox","chat-platform|terminology"
"What is **Fan-out on read**?","Store once; merge on read","chat-platform|terminology"
"What is **Connection registry**?","Maps user_id → WebSocket server","chat-platform|terminology"
"What is **Sync cursor**?","Last seen sequence per device","chat-platform|terminology"
"What is **CRDT**?","Conflict-free replicated data type (optional edits)","chat-platform|terminology"
"What is **APNs/FCM**?","Mobile push for offline","chat-platform|terminology"
"Summarize the core idea of **Chat Platform**.","A **chat platform** enables real-time and offline messaging between users in 1:1 and group conversations with delivery guarantees, ordering per conversation, presence, read receipts, and media attachments. Principal design centers on **connection management at scale**, **message fan-out**, **per-conversation ordering**, **sync for offline clients**, and **storage tiering** for message history.","chat-platform|summary"
"What is **Cache-aside**?","App loads DB on miss, populates cache","distributed-cache-design|terminology"
"What is **Read-through**?","Cache fetches from DB on miss","distributed-cache-design|terminology"
"What is **Write-through**?","Write cache + DB synchronously","distributed-cache-design|terminology"
"What is **Write-behind**?","Write cache; async flush DB","distributed-cache-design|terminology"
"What is **Consistent hashing**?","Minimal key movement on node add/remove","distributed-cache-design|terminology"
"What is **Virtual nodes (vnodes)**?","Many hash points per physical node","distributed-cache-design|terminology"
"What is **LRU**?","Evict least recently used","distributed-cache-design|terminology"
"What is **TTL**?","Time-to-live expiration","distributed-cache-design|terminology"
"What is **Cache stampede**?","Many requests miss simultaneously","distributed-cache-design|terminology"
"What is **Thundering herd**?","Backend overload after expiry","distributed-cache-design|terminology"
"What is **Hot key**?","Disproportionate access to one key","distributed-cache-design|terminology"
"Summarize the core idea of **Distributed Cache Design**.","A **distributed cache** provides low-latency, shared in-memory storage across application tiers to reduce database load and improve response times. Principal-level design covers **partitioning** (consistent hashing), **replication** for availability, **eviction policies**, **cache coherence** (invalidation vs. TTL), **hot key mitigation**, and **failure behavior** (cache stampede, thundering herd).","distributed-cache-design|summary"
"What is **Token bucket**?","Tokens refill at rate R; burst capacity B","distributed-rate-limiter|terminology"
"What is **Leaky bucket**?","Fixed outflow rate; smooths bursts","distributed-rate-limiter|terminology"
"What is **Fixed window**?","Counter resets each wall-clock window","distributed-rate-limiter|terminology"
"What is **Sliding window**?","Rolling count over last T seconds","distributed-rate-limiter|terminology"
"What is **Sliding window log**?","Store timestamps per request; precise but memory-heavy","distributed-rate-limiter|terminology"
"What is **Sliding window counter**?","Weighted blend of current + previous window","distributed-rate-limiter|terminology"
"What is **Lua script / atomic INCR**?","Redis atomicity for check-and-decrement","distributed-rate-limiter|terminology"
"What is **Fail-open**?","Allow traffic when limiter unavailable","distributed-rate-limiter|terminology"
"What is **Fail-closed**?","Deny when limiter unavailable","distributed-rate-limiter|terminology"
"What is **Cell-based limit**?","Divide time into cells; sum recent cells","distributed-rate-limiter|terminology"
"Summarize the core idea of **Distributed Rate Limiter**.","A **distributed rate limiter** enforces per-tenant, per-user, or per-API quotas across a fleet of stateless application servers with **consistent enforcement** despite clock skew, partial failures, and high request rates. Principal candidates must compare **token bucket**, **leaky bucket**, and **sliding window** algorithms; choose between **centralized** (Redis/etcd) and **approximate local** (gossip) approaches; and articulate **safety** (never exceed hard caps) vs. **liveness** (don't block a","distributed-rate-limiter|summary"
"What is **Block / chunk**?","Fixed or content-defined piece of file","dropbox-design|terminology"
"What is **Content hash**?","SHA-256 of block bytes—address in block store","dropbox-design|terminology"
"What is **File signature**?","Ordered list of block hashes","dropbox-design|terminology"
"What is **Sync cursor**?","Opaque token marking client's known metadata state","dropbox-design|terminology"
"What is **Delta sync**?","Transfer only changed blocks","dropbox-design|terminology"
"What is **CDC**?","Content-defined chunking—boundaries by content","dropbox-design|terminology"
"What is **Ref count**?","Number of file versions referencing a block","dropbox-design|terminology"
"What is **Tombstone**?","Deleted file marker in sync journal","dropbox-design|terminology"
"What is **Conflict copy**?","Duplicate file when merge impossible","dropbox-design|terminology"
"What is **Block manifest**?","Server record of file → blocks mapping","dropbox-design|terminology"
"What is **Long poll**?","Hold HTTP request until changes or timeout","dropbox-design|terminology"
"Summarize the core idea of **Dropbox Design**.","**Dropbox-class sync** keeps files consistent across devices and users through block-level deduplication, delta synchronization, conflict resolution, and a metadata service tracking file versions and folder hierarchy. Principal-level design covers **content-defined chunking**, **namespace sync protocol**, **offline clients**, **sharing and permissions**, and **notification** of remote changes.","dropbox-design|summary"
"What is **Feature flag / toggle**?","Runtime configurable switch","feature-flag-platform|terminology"
"What is **Variant**?","Possible return values","feature-flag-platform|terminology"
"What is **Evaluation**?","Resolve flag value for context","feature-flag-platform|terminology"
"What is **Bucketing**?","Assign user to percentage bucket","feature-flag-platform|terminology"
"What is **Targeting rule**?","Condition on attributes","feature-flag-platform|terminology"
"What is **Segment**?","Predefined user group","feature-flag-platform|terminology"
"What is **Impression**?","Record that flag was evaluated","feature-flag-platform|terminology"
"What is **Kill switch**?","Emergency off","feature-flag-platform|terminology"
"What is **SDK stream**?","SSE/WebSocket flag updates","feature-flag-platform|terminology"
"What is **Stale cache**?","SDK serving old flag state briefly","feature-flag-platform|terminology"
"What is **Prerequisite flag**?","Flag depends on another flag","feature-flag-platform|terminology"
"What is **Flag hygiene**?","Remove dead flags to reduce debt","feature-flag-platform|terminology"
"Summarize the core idea of **Feature Flag Platform**.","A **feature flag platform** enables runtime control of feature visibility, gradual rollouts, A/B experiments, and kill switches without redeploying application code. Principal-level design covers **evaluation latency**, **consistent bucketing**, **targeting rules**, **SDK caching**, **audit trails**, and **safe defaults** when the flag service is unavailable.","feature-flag-platform|summary"
"What is **Inode**?","Metadata record for file or directory","file-storage-system|terminology"
"What is **Blob / object**?","Content bytes in object store","file-storage-system|terminology"
"What is **Chunk**?","Fixed-size piece of large file","file-storage-system|terminology"
"What is **Multipart upload**?","Upload parts in parallel; commit manifest","file-storage-system|terminology"
"What is **Manifest**?","Ordered list of chunk IDs and hashes","file-storage-system|terminology"
"What is **Tombstone**?","Deleted marker pending GC","file-storage-system|terminology"
"What is **Erasure coding**?","Parity shards for storage efficiency","file-storage-system|terminology"
"What is **Presigned URL**?","Time-limited direct storage access","file-storage-system|terminology"
"What is **Materialized path**?","Full path string as key","file-storage-system|terminology"
"What is **Copy-on-write**?","Snapshot without duplicating data","file-storage-system|terminology"
"What is **Quota hard limit**?","Reject writes when exceeded","file-storage-system|terminology"
"Summarize the core idea of **File Storage System**.","A **file storage system** provides durable, hierarchical namespace semantics (files and directories) backed by scalable blob storage, serving applications that need POSIX-like or API-driven file operations without managing raw disks. Principal-level design covers **metadata separation** from content, **chunking large files**, **consistency models** for directory operations, **multi-tenancy**, **quota enforcement**, and **garbage collection** of orphaned blobs.","file-storage-system|summary"
"What is **MFT**?","Managed File Transfer—enterprise orchestration of file movement","global-file-transfer-platform|terminology"
"What is **Ingress**?","Entry point where files enter the platform","global-file-transfer-platform|terminology"
"What is **Egress**?","Delivery to destination (partner endpoint, bucket, filesystem)","global-file-transfer-platform|terminology"
"What is **Transfer job**?","Unit of work moving one logical file or batch","global-file-transfer-platform|terminology"
"What is **Chunk / part**?","Subdivision of file for parallel or resumable upload","global-file-transfer-platform|terminology"
"What is **Manifest**?","Metadata listing chunks, hashes, ordering","global-file-transfer-platform|terminology"
"What is **Checkpoint**?","Persisted progress enabling resume after failure","global-file-transfer-platform|terminology"
"What is **AS2**?","Applicability Statement 2—HTTP-based B2B with signing/encryption","global-file-transfer-platform|terminology"
"What is **SFTP**?","SSH File Transfer Protocol","global-file-transfer-platform|terminology"
"What is **Presigned URL**?","Time-limited direct upload/download to object storage","global-file-transfer-platform|terminology"
"What is **Data residency**?","Geographic constraint on data storage and processing","global-file-transfer-platform|terminology"
"What is **RPO/RTO**?","Recovery point/time objectives for metadata and blobs","global-file-transfer-platform|terminology"
"What is **DLQ**?","Dead-letter queue for failed jobs after max retries","global-file-transfer-platform|terminology"
"What is **mTLS**?","Mutual TLS—client and server certificate authentication","global-file-transfer-platform|terminology"
"Summarize the core idea of **Global File Transfer Platform**.","A **global file transfer platform** is an enterprise-grade system that moves large files reliably between organizations, business units, and cloud regions while satisfying security, compliance, and operational requirements that consumer file-sharing tools do not address. Typical workloads include batch data exchange with partners (B2B), internal ETL file drops, backup and disaster-recovery replication, media distribution, and regulated payloads (healthcare, financial, government) that demand enc","global-file-transfer-platform|summary"
"What is **Bucket**?","Container; globally unique name","global-object-store|terminology"
"What is **Object key**?","String identifier within bucket","global-object-store|terminology"
"What is **Shard / partition**?","Subset of keys on storage node set","global-object-store|terminology"
"What is **Erasure coding (k+m)**?","k data + m parity shards","global-object-store|terminology"
"What is **Quorum**?","Minimum replicas for read/write","global-object-store|terminology"
"What is **Placement group**?","Nodes that store one object's shards","global-object-store|terminology"
"What is **Read repair**?","Fix divergent replicas on read","global-object-store|terminology"
"What is **Scrubber**?","Background integrity verification","global-object-store|terminology"
"What is **CRR**?","Cross-region replication","global-object-store|terminology"
"What is **WORM**?","Write once read many—compliance mode","global-object-store|terminology"
"What is **Strong read-after-write**?","New object immediately visible","global-object-store|terminology"
"Summarize the core idea of **Global Object Store**.","A **global object store** provides durable, scalable key-value storage for unstructured blobs (photos, backups, logs, ML datasets) with REST APIs, multi-region replication, and 11-nines durability targets. Principal-level design covers **partitioning**, **quorum writes**, **erasure coding vs replication**, **strong vs eventual consistency models**, **lifecycle tiering**, and **multi-region active-active** tradeoffs.","global-object-store|summary"
"What is **IdP**?","Identity Provider—authenticates users","identity-platform|terminology"
"What is **SP**?","Service Provider—relies on IdP (SAML term)","identity-platform|terminology"
"What is **OIDC**?","OpenID Connect—identity layer on OAuth2","identity-platform|terminology"
"What is **SAML**?","XML federation standard for enterprise SSO","identity-platform|terminology"
"What is **CIAM**?","Customer Identity and Access Management","identity-platform|terminology"
"What is **SCIM**?","Cross-domain user provisioning protocol","identity-platform|terminology"
"What is **RBAC**?","Role-Based Access Control","identity-platform|terminology"
"What is **ABAC**?","Attribute-Based Access Control","identity-platform|terminology"
"What is **MFA**?","Multi-Factor Authentication","identity-platform|terminology"
"What is **Refresh token rotation**?","New refresh on each use; detect reuse","identity-platform|terminology"
"What is **JWKS**?","JSON Web Key Set for token verification","identity-platform|terminology"
"What is **Passkey**?","WebAuthn/FIDO2 passwordless credential","identity-platform|terminology"
"What is **B2B federation**?","Per-tenant enterprise IdP trust","identity-platform|terminology"
"Summarize the core idea of **Identity Platform**.","An **identity platform** is the authoritative system for **authentication** (proving who you are), **authorization** (what you may do), and **identity lifecycle** (provisioning, federation, offboarding) across workforce employees, customer users, and machine workloads. Modern platforms unify **Workforce Identity** (SSO via SAML/OIDC to corporate apps), **Customer Identity and Access Management (CIAM)** (registration, social login, MFA for B2C), and **machine identity** (SPIFFE, workload JWTs, se","identity-platform|summary"
"What is **Topic**?","Named stream of records","kafka-like-event-platform|terminology"
"What is **Partition**?","Ordered immutable log shard","kafka-like-event-platform|terminology"
"What is **Offset**?","Monotonic position in partition","kafka-like-event-platform|terminology"
"What is **Broker**?","Server storing partitions","kafka-like-event-platform|terminology"
"What is **Leader**?","Broker handling reads/writes for partition","kafka-like-event-platform|terminology"
"What is **Follower**?","Replica fetching from leader","kafka-like-event-platform|terminology"
"What is **ISR**?","In-sync replicas eligible for leader","kafka-like-event-platform|terminology"
"What is **Consumer group**?","Cooperative consumers sharing load","kafka-like-event-platform|terminology"
"What is **Rebalance**?","Partition reassignment among consumers","kafka-like-event-platform|terminology"
"What is **Retention**?","Time/size bound on log","kafka-like-event-platform|terminology"
"What is **Compaction**?","Keep latest record per key","kafka-like-event-platform|terminology"
"What is **HW (high watermark)**?","Offset visible to consumers","kafka-like-event-platform|terminology"
"What is **LEO**?","Log end offset on replica","kafka-like-event-platform|terminology"
"Summarize the core idea of **Kafka-like Event Platform**.","A **Kafka-like event platform** is a distributed commit log providing durable, ordered, partitioned streams for publish-subscribe messaging and stream processing at millions of events per second. Principal-level design covers **partition leadership**, **replication and ISR (in-sync replicas)**, **consumer groups**, **offset management**, **exactly-once semantics**, and **tiered storage**.","kafka-like-event-platform|summary"
"What is **TTFT**?","Time to first token in streaming response","llm-gateway|terminology"
"What is **TPOT**?","Time per output token","llm-gateway|terminology"
"What is **Token budget**?","Max tokens per period per tenant","llm-gateway|terminology"
"What is **Model alias**?","Logical name mapping to provider/model/version","llm-gateway|terminology"
"What is **Fallback chain**?","Ordered list when primary fails or slow","llm-gateway|terminology"
"What is **Semantic cache**?","Return similar prior prompt response","llm-gateway|terminology"
"What is **Guardrail**?","Policy filter on input/output","llm-gateway|terminology"
"What is **SSE**?","Server-Sent Events for stream chunks","llm-gateway|terminology"
"What is **Prompt injection**?","Adversarial input manipulating model behavior","llm-gateway|terminology"
"What is **Router**?","Component selecting backend per request","llm-gateway|terminology"
"What is **Chargeback**?","Cost allocation to consuming team","llm-gateway|terminology"
"What is **Eval gate**?","Quality benchmark before model rollout","llm-gateway|terminology"
"Summarize the core idea of **LLM Gateway**.","An **LLM gateway** is the enterprise control plane between applications and **large language model (LLM)** inference—whether self-hosted GPUs or third-party APIs (OpenAI, Anthropic, Bedrock). It centralizes **authentication**, **rate limiting and quotas**, **routing** across models and providers, **fallback chains**, **prompt/response policy** (PII redaction, content filters), **cost attribution**, and **observability** (tokens, latency, errors per tenant).","llm-gateway|summary"
"What is **Log shipper**?","Agent forwarding logs (Fluent Bit, Filebeat)","logging-platform|terminology"
"What is **Ingest pipeline**?","Parse, enrich, drop processors","logging-platform|terminology"
"What is **Index**?","Searchable collection (e.g., logs-2026.07.25)","logging-platform|terminology"
"What is **Shard**?","Lucene sub-index partition","logging-platform|terminology"
"What is **ILM**?","Index Lifecycle Management","logging-platform|terminology"
"What is **Hot/warm/cold**?","Storage tiers by access frequency","logging-platform|terminology"
"What is **Inverted index**?","Term → document mapping","logging-platform|terminology"
"What is **Schema-on-read**?","Parse at query time","logging-platform|terminology"
"What is **Bloated index**?","Too many analyzed fields","logging-platform|terminology"
"What is **Trace correlation**?","trace_id links logs to traces","logging-platform|terminology"
"What is **Sampling**?","Store subset at ingest","logging-platform|terminology"
"Summarize the core idea of **Logging Platform**.","A **logging platform** collects, indexes, stores, and queries semi-structured log events from distributed services at terabytes per day scale. Principal-level design covers **ingest pipelines**, **indexing strategies**, **hot/warm/cold tiering**, **schema-on-read vs schema-on-write**, **sampling and filtering**, and **compliance retention** with cost control.","logging-platform|summary"
"What is **Time series**?","Metric name + label set + timestamped values","metrics-platform|terminology"
"What is **Cardinality**?","Count of unique label combinations","metrics-platform|terminology"
"What is **Counter**?","Monotonically increasing value","metrics-platform|terminology"
"What is **Gauge**?","Point-in-time value","metrics-platform|terminology"
"What is **Histogram**?","Bucketed observations for percentiles","metrics-platform|terminology"
"What is **PromQL**?","Query language for metrics","metrics-platform|terminology"
"What is **Scrape**?","Pull metrics from /metrics endpoint","metrics-platform|terminology"
"What is **Remote write**?","Push ingest to central TSDB","metrics-platform|terminology"
"What is **TSDB block**?","Immutable compressed time chunk","metrics-platform|terminology"
"What is **Head block**?","In-memory recent samples","metrics-platform|terminology"
"What is **Recording rule**?","Precomputed query saved as metric","metrics-platform|terminology"
"What is **Exemplar**?","trace_id attached to histogram sample","metrics-platform|terminology"
"Summarize the core idea of **Metrics Platform**.","A **metrics platform** ingests, stores, queries, and alerts on time-series numerical measurements (counters, gauges, histograms) from applications and infrastructure at millions of samples per second. Principal-level design covers **data model** (labels and cardinality), **write path** (remote write, aggregation), **read path** (PromQL-style queries), **retention tiering**, **high availability**, and **multi-tenancy isolation**.","metrics-platform|summary"
"What is **Fan-out on write**?","Push post to each follower's feed cache","news-feed|terminology"
"What is **Fan-out on read**?","Merge followees' posts at request time","news-feed|terminology"
"What is **Celebrity / hot user**?","User with millions of followers","news-feed|terminology"
"What is **Timeline cache**?","Precomputed list of post IDs per user","news-feed|terminology"
"What is **Ranker**?","ML/heuristic scoring service","news-feed|terminology"
"What is **Candidate generation**?","Pool of posts eligible for feed","news-feed|terminology"
"What is **Write amplification**?","O(followers) work per post","news-feed|terminology"
"What is **Sharding**?","Partition by user_id","news-feed|terminology"
"Summarize the core idea of **News Feed**.","A **news feed** (home timeline) aggregates posts from followed users and ranked content into a personalized, scrollable stream. The canonical principal-level problem contrasts **fan-out on write** (push model) vs. **fan-out on read** (pull model), addresses the **celebrity problem**, and layers **ranking**, **caching**, and **eventual consistency** for social graphs at billions of requests per day.","news-feed|summary"
"What is **Transactional vs. marketing**?","Priority and compliance differ","notification-platform|terminology"
"What is **Fan-out**?","One event → many recipients","notification-platform|terminology"
"What is **Provider adapter**?","Channel-specific sender","notification-platform|terminology"
"What is **Suppression list**?","Emails/phones that must not receive","notification-platform|terminology"
"What is **Webhook**?","Provider callback for delivery/bounce","notification-platform|terminology"
"What is **DLQ**?","Dead-letter queue after max retries","notification-platform|terminology"
"What is **Idempotency key**?","Prevent duplicate sends","notification-platform|terminology"
"What is **Quiet hours**?","No push/SMS during user local night","notification-platform|terminology"
"What is **Outbox pattern**?","Reliable event → notify pipeline","notification-platform|terminology"
"Summarize the core idea of **Notification Platform**.","A **notification platform** delivers messages to users across channels—push, email, SMS, in-app—with templating, preference management, scheduling, and delivery tracking. Principal-level design addresses **fan-out at scale**, **provider abstraction**, **at-least-once delivery with idempotent consumers**, **regulatory compliance** (opt-out, quiet hours), and **priority queuing** without collapsing under marketing bursts.","notification-platform|summary"
"What is **PSP**?","Payment Service Provider","payment-platform|terminology"
"What is **Double-entry ledger**?","Debits = credits per transaction","payment-platform|terminology"
"What is **Authorization**?","Hold funds; not yet captured","payment-platform|terminology"
"What is **Capture**?","Settle authorized amount","payment-platform|terminology"
"What is **Idempotency key**?","Client-supplied dedup token","payment-platform|terminology"
"What is **PCI-DSS**?","Card data security standard","payment-platform|terminology"
"What is **Tokenization**?","Replace PAN with vault token","payment-platform|terminology"
"What is **Reconciliation**?","Match ledger to PSP settlement files","payment-platform|terminology"
"What is **Chargeback**?","Disputed reversal from issuer","payment-platform|terminology"
"What is **Saga**?","Multi-step txn with compensating actions","payment-platform|terminology"
"What is **Exactly-once effect**?","Idempotent retries achieve this semantically","payment-platform|terminology"
"Summarize the core idea of **Payment Platform**.","A **payment platform** processes money movement—charges, refunds, payouts—with **correctness**, **auditability**, and **regulatory compliance** paramount over raw throughput. Principal architects must design **double-entry ledgers**, **idempotent APIs**, **PCI scope minimization**, **reconciliation** with payment processors, and **saga-based** compensation for distributed transactions.","payment-platform|summary"
"What is **Geohash**?","Hierarchical spatial encoding string","ride-sharing-platform|terminology"
"What is **Quadtree**?","Recursive spatial subdivision","ride-sharing-platform|terminology"
"What is **H3**?","Uber's hexagonal hierarchical geospatial index","ride-sharing-platform|terminology"
"What is **Dispatch**?","Service assigning rides to drivers","ride-sharing-platform|terminology"
"What is **Supply heatmap**?","Driver density per area","ride-sharing-platform|terminology"
"What is **Surge multiplier**?","Price factor when demand &gt; supply","ride-sharing-platform|terminology"
"What is **Geofence**?","Polygon region for pricing/rules","ride-sharing-platform|terminology"
"What is **ETA**?","Estimated time of arrival","ride-sharing-platform|terminology"
"What is **Trip state machine**?","REQUESTED → MATCHED → PICKUP → ONTRIP → COMPLETE","ride-sharing-platform|terminology"
"What is **Offer timeout**?","Seconds driver has to accept","ride-sharing-platform|terminology"
"What is **Ghost driver**?","Stale GPS showing available but not","ride-sharing-platform|terminology"
"Summarize the core idea of **Ride Sharing Platform**.","A **ride-sharing platform** matches riders with nearby drivers in real time, manages trip lifecycle (request → match → pickup → dropoff → payment), and optimizes supply positioning. Principal-level design covers **geospatial indexing**, **matching algorithms**, **location streaming**, **ETA estimation**, **surge pricing**, and **consistency** under concurrent driver acceptance.","ride-sharing-platform|summary"
"What is **Typeahead**?","UI pattern showing suggestions while typing","search-autocomplete|terminology"
"What is **Prefix search**?","Match strings beginning with query prefix","search-autocomplete|terminology"
"What is **Trie**?","Tree structure where each edge is a character","search-autocomplete|terminology"
"What is **Compressed trie (radix tree)**?","Merged single-child paths for memory efficiency","search-autocomplete|terminology"
"What is **Edge n-gram**?","Token substrings indexed for prefix retrieval","search-autocomplete|terminology"
"What is **Top-K**?","K highest-ranked matching suggestions","search-autocomplete|terminology"
"What is **CTR**?","Click-through rate—selection / impression ratio","search-autocomplete|terminology"
"What is **Debounce**?","Client delay before sending request","search-autocomplete|terminology"
"What is **Singleflight**?","Coalesce concurrent identical requests","search-autocomplete|terminology"
"What is **Bloom filter**?","Probabilistic structure for existence checks","search-autocomplete|terminology"
"What is **Sponsored suggestion**?","Paid placement with disclosure","search-autocomplete|terminology"
"What is **Query log**?","Stream of prefixes and selected completions","search-autocomplete|terminology"
"Summarize the core idea of **Search Autocomplete**.","A **search autocomplete** (typeahead) system returns ranked prefix suggestions as a user types, typically within tens of milliseconds, across millions of queries per day. Principal-level design covers **prefix indexing** (trie, n-gram, or inverted index), **ranking** (popularity, personalization, freshness), **caching** at multiple tiers, **debouncing and request coalescing**, and **failure degradation** when the index or ranking service is slow.","search-autocomplete|summary"
"What is **Secret**?","Sensitive credential (password, key, token, cert)","secrets-management-platform|terminology"
"What is **Static secret**?","Pre-provisioned value with manual rotation","secrets-management-platform|terminology"
"What is **Dynamic secret**?","Generated on demand; auto-revoked at TTL","secrets-management-platform|terminology"
"What is **Lease**?","Time-bound grant to use a secret","secrets-management-platform|terminology"
"What is **KMS**?","Key Management Service—envelope encryption root","secrets-management-platform|terminology"
"What is **HSM**?","Hardware Security Module—root key protection","secrets-management-platform|terminology"
"What is **PKI**?","Public Key Infrastructure—certificate lifecycle","secrets-management-platform|terminology"
"What is **SPIFFE**?","Secure Production Identity Framework for Everyone","secrets-management-platform|terminology"
"What is **Break-glass**?","Emergency access with extra logging and approval","secrets-management-platform|terminology"
"What is **Shamir unseal**?","Split master key shares for vault bootstrap","secrets-management-platform|terminology"
"What is **Envelope encryption**?","DEK encrypted by KEK in KMS","secrets-management-platform|terminology"
"What is **Standing privilege**?","Persistent access—minimize via dynamic creds","secrets-management-platform|terminology"
"Summarize the core idea of **Secrets Management Platform**.","A **secrets management platform** is the centralized control plane for **credential lifecycle**—generation, storage, distribution, rotation, revocation, and audit—across applications, infrastructure, and human operators. Unlike configuration stores that hold non-sensitive settings, secrets platforms enforce **encryption at rest**, **least-privilege access**, **dynamic credentials** with short time-to-live (TTL), and **immutable audit logs** for every read and write.","secrets-management-platform|summary"
"What is **Functional requirement (FR)**?","What the system must do (features, APIs)","system-design-methodology|terminology"
"What is **Non-functional requirement (NFR)**?","How well: latency, availability, durability, compliance","system-design-methodology|terminology"
"What is **Back-of-envelope (BOE)**?","Order-of-magnitude capacity estimate","system-design-methodology|terminology"
"What is **Critical path**?","Sequence determining end-to-end latency or throughput","system-design-methodology|terminology"
"What is **Bottleneck**?","Resource limiting system capacity","system-design-methodology|terminology"
"What is **SLI/SLO/SLA**?","Indicator, objective, contractual agreement on reliability","system-design-methodology|terminology"
"What is **Blast radius**?","Scope of impact when a component fails","system-design-methodology|terminology"
"What is **CAP/PACELC**?","Frameworks for consistency-availability-latency tradeoffs","system-design-methodology|terminology"
"What is **Fitness function**?","Automated check that architecture constraints hold","system-design-methodology|terminology"
"What is **Strangler fig**?","Incremental migration pattern","system-design-methodology|terminology"
"What is **C4 model**?","Context, container, component, code documentation levels","system-design-methodology|terminology"
"What is **ADR**?","Architecture Decision Record","system-design-methodology|terminology"
"What is **MVP vs. target state**?","Minimum viable vs. long-term architecture","system-design-methodology|terminology"
"What is **Error budget**?","Allowed unreliability before feature freeze","system-design-methodology|terminology"
"Summarize the core idea of **System Design Methodology**.","**System design methodology** is the structured process principal architects use to translate ambiguous business problems into durable, operable distributed systems. Unlike junior interview exercises that optimize for drawing boxes quickly, principal-level design demands explicit **requirements elicitation**, **constraint surfacing**, **quantitative reasoning**, **failure-mode analysis**, and **organizational alignment** before committing to an architecture.","system-design-methodology|summary"
"What is **Alias / slug**?","Short path component (e.g., `abc12XY`)","url-shortener|terminology"
"What is **Long URL**?","Original destination","url-shortener|terminology"
"What is **301 vs. 302**?","Permanent vs. temporary redirect; affects SEO and cache","url-shortener|terminology"
"What is **Base62**?","Encoding using [A-Za-z0-9] for URL-safe IDs","url-shortener|terminology"
"What is **Snowflake ID**?","Time-ordered 64-bit ID from machine + sequence","url-shortener|terminology"
"What is **Cache-aside**?","App loads cache on miss, populates from DB","url-shortener|terminology"
"What is **Surrogate key**?","Internal ID distinct from public alias","url-shortener|terminology"
"What is **Click stream**?","Async events for analytics","url-shortener|terminology"
"What is **Custom domain**?","Tenant CNAME to shortener edge","url-shortener|terminology"
"What is **Bloom filter**?","Probabilistic ""alias exists"" check before DB","url-shortener|terminology"
"Summarize the core idea of **URL Shortener**.","A **URL shortener** maps long URLs to compact, shareable aliases and resolves those aliases with low latency on redirect. At principal level, the exercise tests whether you can separate **write path** (create short link, rare) from **read path** (redirect, dominant), choose an **ID generation strategy** without centralized bottlenecks, and reason about **cache hierarchy**, **analytics**, and **abuse** without over-engineering.","url-shortener|summary"
"What is **VOD**?","Video on demand","video-streaming-platform|terminology"
"What is **ABR**?","Adaptive bitrate—client switches quality","video-streaming-platform|terminology"
"What is **HLS**?","HTTP Live Streaming—Apple manifest format","video-streaming-platform|terminology"
"What is **DASH**?","Dynamic Adaptive Streaming over HTTP","video-streaming-platform|terminology"
"What is **Manifest / playlist**?","M3U8 listing segment URLs","video-streaming-platform|terminology"
"What is **Segment / chunk**?","2–6 second `.ts` or fMP4 fragment","video-streaming-platform|terminology"
"What is **Transcoding ladder**?","Set of resolutions/bitrates","video-streaming-platform|terminology"
"What is **Packager**?","Splits stream into segments + manifest","video-streaming-platform|terminology"
"What is **Origin**?","Source server CDN fetches from","video-streaming-platform|terminology"
"What is **LL-HLS**?","Low-latency HLS with partial segments","video-streaming-platform|terminology"
"What is **CMAF**?","Common Media Application Format","video-streaming-platform|terminology"
"What is **DRM**?","Digital rights management","video-streaming-platform|terminology"
"Summarize the core idea of **Video Streaming Platform**.","A **video streaming platform** delivers on-demand (VOD) and live video to global audiences with adaptive bitrate playback, minimal buffering, and cost-efficient bandwidth. Principal design spans **upload ingest**, **transcoding pipelines**, **CDN distribution**, **manifest-based streaming** (HLS/DASH), **live low-latency paths**, and **recommendation/metadata** services separate from the byte delivery path.","video-streaming-platform|summary"
"What is **Workflow**?","Durable function coordinating steps","workflow-engine|terminology"
"What is **Activity**?","Single unit of side-effecting work","workflow-engine|terminology"
"What is **Event history**?","Append-only log of workflow events","workflow-engine|terminology"
"What is **Replay**?","Re-execute workflow code from history","workflow-engine|terminology"
"What is **Task queue**?","Work distribution to workers","workflow-engine|terminology"
"What is **Signal**?","External async message to workflow","workflow-engine|terminology"
"What is **Query**?","Read-only workflow state without mutation","workflow-engine|terminology"
"What is **Timer**?","Durable sleep until deadline","workflow-engine|terminology"
"What is **Saga**?","Compensating transactions on failure","workflow-engine|terminology"
"What is **Run ID**?","Unique execution instance","workflow-engine|terminology"
"What is **Continue-as-new**?","Reset history for long workflows","workflow-engine|terminology"
"What is **Side effect**?","Non-deterministic op wrapped for replay","workflow-engine|terminology"
